nuclides,reactions,groups,xs
H1,"(n,gamma)",1,0.0485502909571865
H1,"(n,2n)",1,0.0
H1,"(n,p)",1,0.0
H1,"(n,a)",1,0.0
H1,"(n,3n)",1,0.0
H1,"(n,4n)",1,0.0
H1,fission,1,0.0
H2,"(n,gamma)",1,7.643472450307774e-05
H2,"(n,2n)",1,0.001520732704646575
H2,"(n,p)",1,0.0
H2,"(n,a)",1,0.0
H2,"(n,3n)",1,0.0
H2,"(n,4n)",1,0.0
H2,fission,1,0.0
H3,"(n,gamma)",1,0.0
H3,"(n,2n)",1,4.6077376632510755e-05
H3,"(n,p)",1,0.0
H3,"(n,a)",1,0.0
H3,"(n,3n)",1,0.0
H3,"(n,4n)",1,0.0
H3,fission,1,0.0
He3,"(n,gamma)",1,3.749521466545564e-05
He3,"(n,2n)",1,0.0
He3,"(n,p)",1,775.6936308253377
He3,"(n,a)",1,0.0
He3,"(n,3n)",1,0.0
He3,"(n,4n)",1,0.0
He3,fission,1,0.0
He4,"(n,gamma)",1,0.0
He4,"(n,2n)",1,0.0
He4,"(n,p)",1,0.0
He4,"(n,a)",1,0.0
He4,"(n,3n)",1,0.0
He4,"(n,4n)",1,0.0
He4,fission,1,0.0
Li6,"(n,gamma)",1,0.005624031873351422
Li6,"(n,2n)",1,0.0
Li6,"(n,p)",1,0.0011634975974463603
Li6,"(n,a)",1,0.0
Li6,"(n,3n)",1,0.0
Li6,"(n,4n)",1,0.0
Li6,fission,1,0.0
Li7,"(n,gamma)",1,0.006632748171039708
Li7,"(n,2n)",1,1.4357018103087875e-05
Li7,"(n,p)",1,0.0
Li7,"(n,a)",1,0.0
Li7,"(n,3n)",1,0.0
Li7,"(n,4n)",1,0.0
Li7,fission,1,0.0
Be9,"(n,gamma)",1,0.0014655082554680908
Be9,"(n,2n)",1,0.03286989951758796
Be9,"(n,p)",1,1.461259959662672e-08
Be9,"(n,a)",1,0.01086667429441776
Be9,"(n,3n)",1,0.0
Be9,"(n,4n)",1,0.0
Be9,fission,1,0.0
B10,"(n,gamma)",1,0.05782919048403185
B10,"(n,2n)",1,0.0
B10,"(n,p)",1,0.003073425669153677
B10,"(n,a)",1,561.1906937789342
B10,"(n,3n)",1,0.0
B10,"(n,4n)",1,0.0
B10,fission,1,0.0
B11,"(n,gamma)",1,0.0008141691208834468
B11,"(n,2n)",1,1.191583748777015e-06
B11,"(n,p)",1,3.833367631221867e-07
B11,"(n,a)",1,1.7525982918294963e-05
B11,"(n,3n)",1,0.0
B11,"(n,4n)",1,0.0
B11,fission,1,0.0
C12,"(n,gamma)",1,0.0005812193849462431
C12,"(n,2n)",1,0.0
C12,"(n,p)",1,1.5134727610304276e-07
C12,"(n,a)",1,0.00030916669390700265
C12,"(n,3n)",1,0.0
C12,"(n,4n)",1,0.0
C12,fission,1,0.0
C13,"(n,gamma)",1,0.00022710941901855732
C13,"(n,2n)",1,0.0
C13,"(n,p)",1,0.0
C13,"(n,a)",1,0.0002640957598650361
C13,"(n,3n)",1,0.0
C13,"(n,4n)",1,0.0
C13,fission,1,0.0
N14,"(n,gamma)",1,0.01095386833470121
N14,"(n,2n)",1,5.160449686482458e-07
N14,"(n,p)",1,0.2807978796863102
N14,"(n,a)",1,0.025607004737272145
N14,"(n,3n)",1,0.0
N14,"(n,4n)",1,0.0
N14,fission,1,0.0
N15,"(n,gamma)",1,1.194173984293441e-05
N15,"(n,2n)",1,8.346481189325882e-06
N15,"(n,p)",1,4.689217422289451e-06
N15,"(n,a)",1,2.2554798359006364e-05
N15,"(n,3n)",1,0.0
N15,"(n,4n)",1,0.0
N15,fission,1,0.0
O16,"(n,gamma)",1,5.746936726184267e-05
O16,"(n,2n)",1,4.765478830690019e-10
O16,"(n,p)",1,1.1638288113399921e-05
O16,"(n,a)",1,0.003301754939747883
O16,"(n,3n)",1,0.0
O16,"(n,4n)",1,0.0
O16,fission,1,0.0
O17,"(n,gamma)",1,0.000626306669745466
O17,"(n,2n)",1,1.554412483447837e-05
O17,"(n,p)",1,5.600692455581255e-06
O17,"(n,a)",1,0.06812015018704949
O17,"(n,3n)",1,0.0
O17,"(n,4n)",1,0.0
O17,fission,1,0.0
O18,"(n,gamma)",1,7.879148322136461e-05
O18,"(n,2n)",1,0.00016341964872022022
O18,"(n,p)",1,1.059326492326889e-07
O18,"(n,a)",1,4.6267459673721094e-05
O18,"(n,3n)",1,1.3878528475494519e-06
O18,"(n,4n)",1,0.0
O18,fission,1,0.0
F19,"(n,gamma)",1,0.0019238215601268202
F19,"(n,2n)",1,3.915202594757298e-06
F19,"(n,p)",1,0.0003179229552912413
F19,"(n,a)",1,0.004225697456856314
F19,"(n,3n)",1,0.0
F19,"(n,4n)",1,0.0
F19,fission,1,0.0
Ne20,"(n,gamma)",1,0.005658952305273606
Ne20,"(n,2n)",1,3.208226630542705e-12
Ne20,"(n,p)",1,8.228127853052008e-05
Ne20,"(n,a)",1,0.01487387236017975
Ne20,"(n,3n)",1,0.0
Ne20,"(n,4n)",1,0.0
Ne20,fission,1,0.0
Ne21,"(n,gamma)",1,0.11762292685962196
Ne21,"(n,2n)",1,0.0005025227664708017
